14,25,-41,7,-18,-5,12,-20
-128,-75,-72,-79,-26,-5,-17,-49
-70,78,-33,29,21,6,18,20
-24,-83,37,11,4,-4,-50,-26
5,-21,-16,-52,-21,-3,-24,15
-1,-4,52,33,12,17,65,-18
-4,38,48,30,4,6,17,3
-50,-25,-14,3,-9,0,11,0
-53,98,-63,-50,0,-10,-42,0
-40,39,9,7,15,2,10,7
96,-32,-16,-2,7,0,3,28
-8,36,41,25,-3,21,56,-16
-10,38,35,6,-2,-7,-26,-11
-62,15,-48,-1,-8,1,-5,4
93,-29,2,-4,13,3,5,14
32,-37,20,19,7,-16,-26,24
-116,57,19,27,5,9,25,-2
15,-54,25,3,-5,1,13,23
66,-16,-11,-18,-27,3,5,-13
-68,110,-95,-31,-10,-14,-45,-11
-39,19,1,-11,4,7,28,-8
0,22,51,23,14,-12,-46,7
-14,-34,10,62,-12,-3,7,-2
-13,-55,-10,-56,-29,-15,9,-28
66,28,54,24,-14,3,-11,17
-113,67,4,17,11,4,-29,-32
42,-89,17,19,-13,-11,10,-4
-64,0,15,16,10,16,-4,-34
70,-18,31,24,-5,-11,1,-8
-71,73,-79,-52,-19,-12,-23,41
-38,-13,-73,-63,10,21,21,-8
83,-63,33,19,3,-3,-4,5
75,-123,16,27,3,0,-10,-9
127,-22,-6,-21,-6,-5,37,18
-58,49,43,-3,-7,-7,-26,-27
73,-27,25,33,24,11,-3,51
96,48,-14,-22,-3,1,-3,-23
-23,12,64,42,13,5,23,28
-1,-47,-17,-1,-7,10,-11,-34
69,13,48,25,2,0,1,-6
6,-56,19,-15,-11,-8,21,6
-87,53,-4,-5,-2,8,-16,-15
-74,93,55,38,8,-7,-18,18
-110,19,13,6,-14,-7,60,6
1,46,2,5,0,2,-71,-16
85,-84,6,6,11,-6,28,2
-37,-3,66,46,14,4,13,12
-30,60,-34,-26,-6,7,12,-17
-78,-49,-16,23,10,-6,-1,22
-27,-38,26,-45,-11,-5,-8,2
-54,34,32,4,0,2,11,1
11,35,36,37,18,3,9,4
-25,-12,-62,-40,-17,-3,-14,-15
98,40,19,30,3,-5,14,19
74,-62,11,4,3,-1,-3,34
-107,-22,-68,-62,-27,-13,-21,-24
-15,-90,33,-34,2,-4,-14,-5
-10,-14,-20,8,-6,5,13,-25
-3,28,-17,3,12,2,13,11
57,13,33,-20,14,-3,15,32
-41,88,-33,-16,-5,-2,2,-1
73,-66,-38,9,-1,5,11,21
-19,-25,-67,-30,-13,-5,-8,-25
122,81,-38,21,5,-1,-13,30
-66,-19,10,-1,2,5,36,-10
-39,-21,20,-3,1,-9,-31,-7
-42,22,18,20,6,10,18,2
7,-22,-66,-4,-6,3,20,11
10,20,-8,1,-3,-3,-15,-8
-95,6,13,14,12,2,-6,-9
51,-33,-10,-1,-1,-12,-3,-15
3,35,60,41,0,-6,-22,-17
-14,30,-64,5,6,2,24,31
59,-7,23,16,0,-1,-29,-25
-16,-34,14,-18,3,4,10,-1
16,61,16,12,10,0,-16,6
53,-1,28,6,-5,-6,-7,13
-45,4,40,7,-3,4,18,-33
30,17,78,33,5,-5,-12,-6
-35,-92,46,-6,-10,4,-11,-6
48,-29,48,30,-1,1,-13,5
-91,-23,-48,14,12,18,61,22
6,7,-2,16,11,3,-21,1
-85,11,18,21,17,2,24,-21
29,-12,2,-22,-2,-8,-2,-12
-41,11,57,23,-7,-8,19,18
-73,-5,-20,-36,-5,9,-1,8
-55,-37,-12,-17,-7,-13,-4,-5
-18,-13,-12,-19,0,-1,-14,-8
121,86,16,20,13,9,32,8
4,-5,11,-13,-15,-13,5,-3
22,67,-10,-29,8,2,-10,27
17,64,43,46,2,-8,-13,-12
18,-20,-25,-10,16,0,8,24
67,46,-45,-26,6,14,21,46
-65,-19,-40,-27,-11,-6,-2,-9
-55,-9,15,22,7,-2,-5,3
10,-50,-56,-68,-14,-3,-38,-11
-25,-97,-36,-10,-11,-4,0,-11
88,36,-91,-41,-12,-5,16,5
-37,-19,23,27,0,-12,-36,10
